"ID";"Onderwijssectoren";"Perioden";"TotaalPubliekeOnderwijsuitgaven_1";"InVanDeTotalePubliekeUitgaven_2";"TotaalRijk_3";"AanOnderwijsinstellingen_4";"AanGemeenten_5";"TotaalStudiefinanciering_6";"Beurzen_7";"Leningen_8";"AanBedrijvenNonProfitInstellingen_9";"UitgavenVanGemeenten_10";"UitgavenVanProvincies_11"
"42";"ISC56";"1995JJ00";"  5033.8";"     2.9";"  5004.9";"  3833.8";"       -";"  1171.2";"   998.0";"   173.2";"       -";"    28.9";"     0.0"
"43";"ISC56";"1996JJ00";"  4993.8";"     3.2";"  4987.7";"  3839.7";"    20.6";"  1126.5";"   890.8";"   235.8";"     0.9";"     5.8";"     0.3"
"44";"ISC56";"1997JJ00";"  5042.8";"     3.1";"  5042.0";"  3873.8";"       -";"  1167.2";"   781.2";"   385.9";"     1.0";"       -";"     0.9"
"45";"ISC56";"1998JJ00";"  5172.7";"     3.1";"  5171.8";"  4047.1";"       -";"  1123.4";"   505.3";"   618.2";"     1.3";"       -";"     0.9"
"46";"ISC56";"1999JJ00";"  5445.1";"     3.1";"  5444.3";"  4234.7";"       -";"  1207.6";"   572.5";"   635.1";"     2.1";"       -";"     0.8"
"47";"ISC56";"2000JJ00";"  5806.6";"     3.1";"  5805.7";"  4386.6";"       -";"  1415.9";"   616.8";"   799.1";"     3.2";"       -";"     0.9"
"48";"ISC56";"2001JJ00";"  6075.9";"     3.0";"  6074.9";"  4733.1";"       -";"  1337.5";"   613.1";"   724.4";"     4.3";"       -";"     1.0"
"49";"ISC56";"2002JJ00";"  6221.5";"     2.9";"  6220.3";"  4946.9";"       -";"  1266.0";"   479.3";"   786.7";"     7.5";"       -";"     1.2"
"50";"ISC56";"2003JJ00";"  6768.3";"     3.0";"  6766.7";"  5122.1";"       -";"  1637.9";"   769.0";"   869.0";"     6.7";"       -";"     1.6"
"51";"ISC56";"2004JJ00";"  7125.5";"     3.1";"  7124.0";"  5325.5";"       -";"  1791.3";"   806.6";"   984.7";"     7.2";"       -";"     1.5"
"52";"ISC56";"2005JJ00";"  7536.0";"     3.3";"  7534.5";"  5587.9";"       -";"  1939.3";"   857.4";"  1081.9";"     7.3";"       -";"     1.5"
"53";"ISC56";"2006JJ00";"  8110.4";"     3.3";"  8108.4";"  5711.2";"       -";"  2390.0";"   993.6";"  1396.4";"     7.2";"       -";"     2.0"
"54";"ISC56";"2007JJ00";"  8244.0";"     3.2";"  8242.2";"  6022.6";"       -";"  2210.8";"   734.2";"  1476.6";"     8.8";"       -";"     1.8"
"55";"ISC56";"2008JJ00";"  8979.8";"     3.3";"  8977.9";"  6341.0";"       -";"  2610.9";"  1060.0";"  1550.9";"    26.0";"       -";"     1.9"
